IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
172.67.82.217,191,200,196,80
104.20.244.114,194,197,196,80
104.20.212.174,187,205,196,80
104.18.44.112,196,196,196,80
104.24.189.210,182,212,197,80
173.245.59.75,194,200,197,80
104.20.226.180,193,201,197,80
104.25.85.15,190,204,197,80
104.25.20.13,190,204,197,80
104.27.108.119,193,202,198,80
104.20.157.19,180,216,198,80
104.20.114.98,193,204,198,80
104.19.33.112,185,213,199,80
104.19.87.115,189,209,199,80
104.19.78.167,195,204,200,80
172.67.198.143,196,204,200,80
173.245.58.13,198,203,200,80
162.159.41.243,199,201,200,80
104.27.117.232,189,212,200,80
104.20.146.25,195,206,201,80
104.20.230.204,197,206,202,80
104.23.106.38,200,207,204,80
104.20.209.15,202,208,205,80
104.24.154.122,202,210,206,80
104.20.224.154,203,210,207,80
104.24.214.251,203,212,208,80
104.19.58.85,203,217,210,80
104.20.104.202,205,224,214,80
104.19.139.49,221,231,226,80
104.21.117.9,245,294,269,80
104.27.94.83,174,174,174,90
104.27.193.59,177,177,177,90
104.24.16.168,180,180,180,90
162.159.24.71,181,181,181,90
104.18.59.29,181,181,181,90
104.25.57.117,182,182,182,90
104.20.67.85,183,183,183,90
162.159.62.239,183,183,183,90
104.25.192.162,183,183,183,90
104.20.158.208,183,183,183,90
172.67.19.225,183,183,183,90
104.19.23.97,184,184,184,90
104.21.221.159,184,184,184,90
104.25.179.92,184,184,184,90
104.25.114.33,184,184,184,90
104.24.225.167,184,184,184,90
104.21.9.57,185,185,185,90
104.21.54.105,185,185,185,90
172.67.196.21,186,186,186,90
104.20.249.21,186,186,186,90
104.20.118.212,186,186,186,90
104.21.202.237,186,186,186,90
104.24.3.198,186,186,186,90
172.67.204.88,186,186,186,90
104.25.52.40,186,186,186,90
172.67.59.16,186,186,186,90
104.27.80.48,186,186,186,90
104.19.48.127,186,186,186,90
104.21.103.43,186,186,186,90
104.19.30.155,186,186,186,90
104.25.210.50,187,187,187,90
104.23.132.199,187,187,187,90
104.27.4.128,187,187,187,90
162.159.49.88,187,187,187,90
104.20.131.61,187,187,187,90
108.162.195.155,187,187,187,90
104.19.27.13,187,187,187,90
172.67.61.210,187,187,187,90
172.64.94.191,187,187,187,90
104.25.111.70,188,188,188,90
198.41.214.16,188,188,188,90
172.64.87.76,188,188,188,90
104.24.85.167,188,188,188,90
104.25.60.1,188,188,188,90
104.20.136.127,188,188,188,90
172.67.191.156,188,188,188,90
172.64.80.160,189,189,189,90
172.67.123.104,189,189,189,90
172.67.37.38,189,189,189,90
104.19.36.20,189,189,189,90
104.19.77.92,189,189,189,90
104.25.177.177,189,189,189,90
104.25.195.65,190,190,190,90
104.19.24.117,190,190,190,90
104.24.163.241,190,190,190,90
104.24.244.162,190,190,190,90
104.25.63.108,190,190,190,90
162.159.18.241,190,190,190,90
104.25.45.53,190,190,190,90
104.27.98.26,191,191,191,90
162.159.26.253,191,191,191,90
104.24.94.49,191,191,191,90
104.27.105.172,191,191,191,90
104.19.37.255,191,191,191,90
104.27.197.247,191,191,191,90
104.25.10.168,191,191,191,90
172.64.151.119,191,191,191,90
104.24.196.4,191,191,191,90
104.19.91.3,191,191,191,90
172.67.126.201,191,191,191,90
104.25.208.41,191,191,191,90
172.67.100.2,191,191,191,90
104.27.59.173,192,192,192,90
104.21.116.151,192,192,192,90
104.25.235.127,192,192,192,90
104.27.88.122,192,192,192,90
172.67.36.17,193,193,193,90
172.64.84.243,193,193,193,90
104.20.199.206,193,193,193,90
104.27.23.229,193,193,193,90
104.25.56.171,193,193,193,90
104.27.96.231,193,193,193,90
104.25.21.216,193,193,193,90
104.19.106.33,193,193,193,90
104.19.117.96,193,193,193,90
104.20.89.135,193,193,193,90
104.25.214.25,194,194,194,90
104.19.40.204,194,194,194,90
104.27.199.93,194,194,194,90
104.20.208.224,194,194,194,90
162.159.11.223,194,194,194,90
104.25.51.214,194,194,194,90
172.67.180.1,194,194,194,90
104.27.48.13,195,195,195,90
172.67.124.126,195,195,195,90
104.21.108.120,195,195,195,90
104.19.203.125,196,196,196,90
104.24.215.12,196,196,196,90
104.20.144.27,196,196,196,90
104.20.123.249,196,196,196,90
104.27.6.177,196,196,196,90
104.20.243.224,197,197,197,90
172.64.145.144,197,197,197,90
162.159.245.144,197,197,197,90
104.22.74.85,197,197,197,90
104.27.116.180,197,197,197,90
198.41.207.15,197,197,197,90
104.20.231.146,198,198,198,90
104.19.32.78,198,198,198,90
104.25.188.130,198,198,198,90
104.25.118.72,199,199,199,90
104.25.67.41,199,199,199,90
104.20.140.0,200,200,200,90
104.25.173.103,200,200,200,90
104.20.105.61,200,200,200,90
104.27.110.29,200,200,200,90
104.19.115.248,200,200,200,90
